"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c","wmx_module__c"
"a1D6g000001DSmMEAW","","42243265222135256","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Balance Sheet.render","false","",""
"a1D6g000001DSmNEAW","","42729093741145130","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Balance Sheet.order","8","",""
"a1D6g000001DSmOEAW","","42844254584470830","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Personal Financial Statement.hide","false","",""
"a1D6g000001DSmPEAW","","42318646524126507","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Personal Financial Statement.render","false","",""
"a1D6g000001DSmQEAW","","42955239220352579","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Personal Financial Statement.order","11","",""
"a1D6g000001DSmREAW","","42283732342246056","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Budget.hide","false","",""
"a1D6g000001DSmSEAW","","42310995049989147","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Budget.render","false","",""
"a1D6g000001DSmTEAW","","42057856355613198","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","underwriting","true","section.Budget.order","12","",""
"a1D6g000001DSmUEAW","","42197077597208867","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Credit Memo","true","credit_memo_display_empty_narratives","true","",""
"a1D6g000001DSmVEAW","","42289189592915091","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","MEMO","true","AutoGeneratedCategories","","",""
"a1D6g000001DSmWEAW","","42833878844792387","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","complex_deal_support","true","Disable_No_Action_Cloning","true","",""
"a1D6g000001DSmXEAW","","42321731563139104","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","decline_withdraw_from_highest_down","true","decline_withdraw_from_highest_down","false","",""
"a1D6g000001DSmYEAW","","TM Proforma Options Account","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Options_Account","Account_Proforma_ECA","This field indicates the field set that will be used to display the fields on the Scenario Options modal that are on the Account object",""
"a1D6g000001DSmZEAW","","TM Proforma Options Scenario","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Options_Scenario","Scenario_Proforma_ECA","This field indicates the field set that will be use to display the fields on the Scenario Options modal that are on the Scenario object",""
"a1D6g000001DSmaEAG","","TM Proforma Quantity Pricing","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Quantity_Pricing_Page","TM_Proforma_Quantity_Pricing","This field indicates the field set that will be use to display the fields on the Proforma Quantity and Pricing screen",""
"a1D6g000001DSmbEAG","","TM Proforma Default Style","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Default_Style","/resource/1510692211595/LLC_BI__ncProforma/css/Style.css","This field indicates the static resource name for the default styles of Proforma base page and template.",""
"a1D6g000001DSmcEAG","","TM Proforma Total Quantity Pricing","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Total_Quantity_Pricing","TM_Proforma_Total_Quantity_Pricing","This field indicates field-set is used to display the configurable columns in the summary row on the Proforma Quantity and Pricing screen",""
"a1D6g000001DSmdEAG","","Scenario Card Screen","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","Scenario_Card_Screen","Scenario_Card_Screen","This field indicates the value of the lookup_key for the Screen record used to define the Scenario Card layout",""
"a1D6g000001DSmeEAG","","TM Proforma Default Convert Stage","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","TM Proforma","true","TM_Proforma_Default_Convert_Stage","Order Entry","",""
"a1D6g000001DSmfEAG","","Booked_Loan_Trigger_Handler","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Booked_Loan_Trigger_Handler","true","Disable_Lien_Creation","false","",""
"a1D6g000001DSmgEAG","","collateral_creation","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","collateral_creation","true","create_child_same_type","true","",""
"a1D6g000001DSmhEAG","","42850263832301271","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","LoanLifeCycleSearchCategory","true","LoanLifeCycleSearchKey","false","",""
"a1D6g000001DSmiEAG","","42527161401016274","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","Manage Loan Fees","true","Fees Per Page","50","",""
"a1D6g000001DSmjEAG","","42273781873254846","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","MEMO","true","AutoGeneratedCategories","","",""
"a1D6g000001DSmkEAG","","7EB5DA02_BAA2_4AF5_8586_5F267D94EB75","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","system_admin","true","last_installed_time","1541455172821","",""
"a1D6g000001DSmlEAG","","DFA2996A_BC25_4DFE_A44A_BCCB7BB727CC","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","system_admin","true","last_installed_by_id","0056g000003hlHUAAY","",""
"a1D6g000001DSmmEAG","","16976AAC_96E0_4096_A603_997E758E901D","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","Loan_Facility_Creation","false","Hide_Loan_Name","Temporary Name Value","When this system property is active, the loan name does not render on the Loan Facility Creation page. The value is the temporary name created for any new loan or facility. By default, it is inactive.",""
"a1D6g000001DSmnEAG","","6FC36E5F_2345_4321_8618_30C376FA5741","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","Loan_Facility_Creation","true","Additional_Fields_Default_Screen","Default_Loan_Facility_Creation_Additional_Fields","This is the lookup key for the default screen utilized in additional fields.",""
"a1D6g000001DSmoEAG","","42062046647961870","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","complex_deal_support","true","inactive_package_stages","Complete","",""
"a1D6g000001DSmpEAG","","42472444434870719","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","complex_deal_support","true","inactive_package_statuses","Rejected,Recalled,Declined,Complete,Lost,Withdrawn,Intermediately Rejected","",""
"a1D6g000001DSmqEAG","","Show Setup Fee","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","2020-01-24T21:56:41.000Z","0056g000003hlHUAAY","","TM Proforma","true","TM_Proforma_Show_Setup_Fee","True","This system property gives administrators the option to display the Setup Fee total on the Proforma Summary card. By default, the system property value is set to true, and the Setup Fee total displays on the Proforma Summary card.",""
"a1D6g000001DSmrEAG","","42152955916191256","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","underwriting","true","Spreads 2018 R2","true","",""
"a1D6g000001DSmsEAG","","42635321148244846","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","underwriting","true","NOI 2018 R1","true","",""
"a1D6g000001DSmtEAG","","1D3BA638_465D_4C6B_8806_CE4DC8AA53F2","00D6g0000052B2qEAE","2020-01-24T21:56:41.000Z","0056g000003hlI5AAI","2020-01-24T21:56:41.000Z","0056g000003hlI5AAI","","FormsLite","true","SaveAttachment","true","",""
