"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c","wmx_module__c"
"a1T4v000006uCzTEAU","","42520430351740296","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","OAUTH2_AUTH_URL","https://bankwithunited.my.salesforce.com/services/oauth2/authorize","","false","","",""
"a1T4v000006uCzUEAU","","42545395172692981","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","OAUTH2_TOKEN_URL","https://bankwithunited.my.salesforce.com/services/oauth2/token","","false","","",""
"a1T4v000006uCzVEAU","","42091548249371072","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","OAUTH2_REDIRECT_URL","https://bankwithunited.my.salesforce.com/apex/nforce__Administration?app=admin.aws-data-auth","","false","","",""
"a1T4v000006uCzWEAU","","42322622585401189","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","HTTP.Verb","POST","","false","","",""
"a1T4v000006uCzXEAU","","42169067973232425","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","HTTP.TimeOut","120000","","false","","",""
"a1T4v000006uCzYEAU","","42400551469829770","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","HTTP.Header.Content-Type","application/json","","false","","",""
"a1T4v000006uCzZEAU","","42393931885238450","00D6g0000052B2qEAE","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","2021-05-12T12:59:53.000Z","0056g000003hlI2AAI","","AWS_Data_Platform_Communicator","true","Data Management Configure Path","/data-management/configure","","false","","",""
"a1T4v000006uCzaEAE","","7D4F5920_5550_440E_BA0C_0A1E32364518","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","bookStatus0","Book_Core_Modal_Wait_0","","false","","",""
"a1T4v000006uCzbEAE","","2748531F_315D_4563_8609_543B3344553C","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","bookStatus1","Book_Core_Modal_Wait_1","","false","","",""
"a1T4v000006uCzcEAE","","153F622C_4A0B_4076_AC7F_350C12581238","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","bookStatus2","Book_Core_Modal_Wait_2","","false","","",""
"a1T4v000006uCzdEAE","","31045853_024F_4708_8D5E_331003436204","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","bookStatus3","Book_Core_Modal_Wait_3","","false","","",""
"a1T4v000006uCzeEAE","","3447061D_271D_4F07_BE46_2972350A7921","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","bookStatus4","Book_Core_Modal_Wait_4","","false","","",""
"a1T4v000006uCzfEAE","","772C1A7D_0019_4A16_AC7C_7D050E3E036B","00D6g0000052B2qEAE","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","2021-05-12T13:17:40.000Z","0054v00000EIhfJAAT","","atbk.Generic.Book.Modal","true","timeout","25","","false","","",""
